name,company,year,Price,kms_driven,fuel_type
Renault Duster 85PS,Renault,2013,"4,01,919",57923,Diesel
Chevrolet Enjoy,Chevrolet,2014,"4,90,000",30201,Diesel
Maruti Suzuki Alto,Maruti,2017,"2,80,000",6200,Petrol
BMW 5 Series,BMW,2009,"6,50,000",37518,Petrol
Toyota Etios Liva,Toyota,2014,"1,60,000",24652,Petrol
Mahindra Jeep MM,Mahindra,2004,"4,24,000",383,Diesel
Chevrolet Beat LS,Chevrolet,2016,"2,25,000",95000,Diesel
Chevrolet Cruze LTZ,Chevrolet,2011,"3,50,000",35000,Diesel
Jeep Wrangler Unlimited,Jeep,2015,"9,50,000",3528,Diesel
Maruti Suzuki Ertiga,Maruti,2013,"4,85,000",52500,Diesel
Hyundai Verna VGT,Hyundai,2010,"2,05,000",47900,Diesel
Maruti Suzuki Omni,Maruti,2012,"1,60,000",14000,Petrol
Maruti Suzuki Celerio,Maruti,2018,"3,10,000",37000,Petrol
Tata Zest Quadrajet,Tata,2017,"1,80,000",90000,Diesel
Mahindra XUV500 W6,Mahindra,2013,"5,49,900",52800,Diesel
Tata Indigo CS,Tata,2016,"1,50,000",104000,Diesel
Hyundai i10 Era,Hyundai,2011,"1,75,000",30000,Petrol
Tata Indigo eCS,Tata,2014,"95,000",195000,Diesel
Tata Indigo LX,Tata,2016,"2,30,000",104000,Diesel
Tata Indigo eCS,Tata,2016,"2,30,000",104000,Diesel
Tata Indigo Marina,Tata,2004,"1,80,000",70000,Diesel
Hyundai Xcent SX,Hyundai,2015,"4,00,000",43000,Diesel
Hyundai Eon Magna,Hyundai,2013,"1,85,000",23000,Petrol
Renault Duster 85,Renault,2015,"3,85,000",51000,Diesel
Maruti Suzuki Alto,Maruti,2009,"90,000",62000,Petrol
Tata Nano LX,Tata,2010,"32,000",48008,Petrol
Renault Duster 110,Renault,2013,"4,35,000",39000,Diesel
Maruti Suzuki Wagon,Maruti,2010,"2,25,000",40000,Petrol
Maruti Suzuki Swift,Maruti,2006,"1,89,700",48247,Petrol
Maruti Suzuki Ertiga,Maruti,2012,"3,89,700",39000,Diesel
Maruti Suzuki Swift,Maruti,2014,"3,65,000",23000,Petrol
Maruti Suzuki Alto,Maruti,2017,"3,60,000",9400,Petrol
Hyundai i20 Magna,Hyundai,2010,"2,10,000",50000,Petrol
Hyundai i10 Magna,Hyundai,2009,"1,70,000",75000,Petrol
Tata Zest XE,Tata,2017,"3,80,000",70000,Diesel
Mahindra Xylo E8,Mahindra,2009,"2,95,000",64000,Diesel
Toyota Corolla Altis,Toyota,2010,"1,85,000",55000,Petrol
Tata Manza Aqua,Tata,2014,"1,60,000",200000,Diesel
Renault Kwid 1.0,Renault,2018,"2,90,000",2137,Petrol
Tata Venture EX,Tata,2013,"1,00,000",30000,Diesel
Maruti Suzuki Swift,Maruti,2014,"3,15,000",44000,Petrol
Skoda Octavia Classic,Skoda,2006,"1,14,990",65000,Diesel
Maruti Suzuki Omni,Maruti,2012,"1,20,000",160000,LPG
Chevrolet Beat Diesel,Chevrolet,2011,"1,25,000",56000,Diesel
Tata Sumo Gold,Tata,2012,"2,10,000",75000,Diesel
Hyundai Verna 1.6,Hyundai,2018,"8,55,000",42000,Diesel
Tata Sumo Gold,Tata,2012,"2,10,000",75000,Diesel
Mahindra Scorpio 2.6,Mahindra,2007,"2,60,000",56000,Diesel
Maruti Suzuki Zen,Maruti,2002,"95,000",10544,Petrol
Maruti Suzuki Swift,Maruti,2011,"2,55,000",64000,Petrol
Mahindra Scorpio SLX,Mahindra,2008,"3,00,000",70000,Diesel
Hyundai Grand i10,Hyundai,2014,"3,40,000",25000,Petrol
Hyundai Elite i20,Hyundai,2017,"5,50,000",15000,Petrol
Ford Ikon 1.6,Ford,2003,"60,000",50000,Petrol
Toyota Innova 2.5,Toyota,2011,"7,50,000",147000,Diesel
Nissan Sunny XL,Nissan,2011,"2,30,000",52000,Petrol
Chevrolet Beat LT,Chevrolet,2012,"1,30,000",90001,Diesel
Maruti Suzuki Alto,Maruti,2017,"2,70,000",21000,Petrol
Maruti Suzuki Swift,Maruti,2012,"2,80,000",48006,Diesel
Maruti Suzuki Swift,Maruti,2012,"2,80,000",48006,Diesel
Maruti Suzuki Swift,Maruti,2012,"2,80,000",48006,Diesel
Toyota Innova 2.0,Toyota,2012,"6,00,000",80000,Diesel
Maruti Suzuki Swift,Maruti,2010,"1,90,000",74000,Diesel
Hyundai Elite i20,Hyundai,2015,"5,00,000",22000,Petrol
Mahindra XUV500 W10,Mahindra,2016,"10,65,000",41000,Diesel
Volkswagen Polo Trendline,Volkswagen,2015,"3,50,000",25000,Diesel
Toyota Etios Liva,Toyota,2012,"3,50,000",85000,Diesel
Mahindra TUV300 T4,Mahindra,2016,"5,40,000",29500,Diesel
Hyundai Elite i20,Hyundai,2015,"4,70,000",30000,Petrol
Hyundai Santro Xing,Hyundai,2014,"1,79,000",57000,Petrol
Maruti Suzuki Zen,Maruti,2003,"48,000",60000,Petrol
Maruti Suzuki Ciaz,Maruti,2016,"6,50,000",50000,Petrol
Hyundai Eon Era,Hyundai,2013,"1,90,000",39700,Petrol
Hyundai Elantra 1.8,Hyundai,2012,"5,00,000",65000,Petrol
Maruti Suzuki Swift,Maruti,2010,"2,70,000",67000,Diesel
Maruti Suzuki Zen,Maruti,2008,"1,25,000",46000,Petrol
Hyundai Eon Era,Hyundai,2012,"1,88,000",38000,Petrol
Hyundai Grand i10,Hyundai,2016,"3,80,000",27000,Petrol
Hyundai Verna Fluidic,Hyundai,2011,"3,65,000",43000,Diesel
Ford EcoSport Trend,Ford,2014,"4,65,000",47000,Petrol
Hyundai i20 Magna,Hyundai,2011,"2,40,000",42000,Petrol
Chevrolet Beat Diesel,Chevrolet,2016,"1,79,999",19336,Diesel
Tata Indica eV2,Tata,2015,"1,40,000",60105,Diesel
Jaguar XF 2.2,Jaguar,2013,"21,90,000",29000,Diesel
Audi Q5 2.0,Audi,2014,"23,90,000",34000,Diesel
BMW 3 Series,BMW,2011,"10,75,000",35000,Diesel
Maruti Suzuki Swift,Maruti,2015,"4,75,000",22000,Petrol
BMW X1 sDrive20d,BMW,2012,"10,25,000",41000,Diesel
Maruti Suzuki S,Maruti,2016,"6,15,000",21000,Diesel
Maruti Suzuki Ertiga,Maruti,2013,"4,75,000",48000,Diesel
Maruti Suzuki Alto,Maruti,2016,"2,70,000",38000,Petrol
Honda City SV,Honda,2014,"4,75,000",34000,Diesel
Volkswagen Vento Comfortline,Volkswagen,2011,"2,40,000",45933,Petrol
Honda City 1.5,Honda,2005,"1,20,000",68000,Petrol
Audi A4 2.0,Audi,2016,"19,00,000",44000,Diesel
Mahindra KUV100,Mahindra,2017,"3,60,000",35000,Diesel
Tata Zest XE,Tata,2018,"4,50,000",102563,Diesel
Mahindra XUV500 W8,Mahindra,2015,"9,00,000",28600,Diesel
Maruti Suzuki Swift,Maruti,2017,"6,50,000",41800,Diesel
Tata Sumo Gold,Tata,2014,"2,75,000",116000,Diesel
Maruti Suzuki Swift,Maruti,2009,"2,10,000",59000,Petrol
Mahindra Scorpio 2.6,Mahindra,2004,"1,75,000",58000,Diesel
Maruti Suzuki Omni,Maruti,2009,"85,000",45000,Petrol
Mitsubishi Pajero Sport,Mitsubishi,2015,"14,90,000",42590,Diesel
Renault Duster,Renault,2014,"8,00,000",7400,Diesel
Volkswagen Jetta Comfortline,Volkswagen,2009,"4,50,000",54500,Diesel
Maruti Suzuki Ertiga,Maruti,2012,"10,00,000",200000,Diesel
Audi A4 2.0,Audi,2013,"15,10,000",27000,Diesel
Volvo S80 Summum,Volvo,2015,"18,50,000",42000,Diesel
Toyota Corolla Altis,Toyota,2014,"7,90,000",29000,Petrol
Mitsubishi Pajero Sport,Mitsubishi,2015,"17,25,000",37000,Diesel
Chevrolet Beat LT,Chevrolet,2012,"1,35,000",36000,Petrol
BMW X1,BMW,2011,"10,00,000",34000,Diesel
Datsun Redi GO,Datsun,2018,"2,99,999",7000,Petrol
Mercedes Benz C,Mercedes,2009,"12,25,000",76000,Diesel
Mahindra Scorpio SLX,Mahindra,2004,"1,75,000",60000,Diesel
Volkswagen Vento Comfortline,Volkswagen,2011,"2,00,000",95000,Diesel
Tata Indigo CS,Tata,2017,"2,70,000",50000,Diesel
Ford Figo Petrol,Ford,2019,"5,25,000",0,Petrol
Honda City ZX,Honda,2006,"1,80,000",50000,Petrol
Maruti Suzuki Wagon,Maruti,2008,"1,40,000",68000,Petrol
Ford EcoSport Trend,Ford,2014,"4,00,000",16000,Petrol
Maruti Suzuki Swift,Maruti,2016,"4,99,000",51000,Diesel
Maruti Suzuki Omni,Maruti,2009,"85,000",56000,Petrol
Maruti Suzuki Zen,Maruti,2004,"70,000",100000,Petrol
Renault Duster RxL,Renault,2015,"5,50,000",36000,Petrol
Maruti Suzuki Swift,Maruti,2014,"3,70,000",11523,Petrol
Maruti Suzuki Baleno,Maruti,2018,"6,90,000",1000,Petrol
Honda WR V,Honda,2009,"2,50,000",60000,Petrol
Tata Indigo CS,Tata,2016,"1,10,000",85000,Diesel
Renault Duster 110,Renault,2013,"4,90,000",38600,Diesel
Mahindra Scorpio LX,Mahindra,2009,"3,20,000",95500,Diesel
Maruti Suzuki Zen,Maruti,2004,"68,000",56000,Petrol
Maruti Suzuki Wagon,Maruti,2014,"1,30,000",37458,Petrol
Maruti Suzuki SX4,Maruti,2016,"9,70,000",85960,Diesel
Audi A3 Cabriolet,Audi,2015,"31,00,000",12516,Petrol
Hyundai Eon D,Hyundai,2018,"2,80,000",35000,Petrol
Maruti Suzuki Zen,Maruti,2009,"1,25,000",0,Petrol
Mahindra Scorpio SLX,Mahindra,2008,"2,85,000",80000,Diesel
Hyundai Santro AE,Hyundai,2011,"1,65,000",45000,Petrol
Maruti Suzuki Swift,Maruti,2009,"2,50,000",51000,Diesel
Mahindra Scorpio S4,Mahindra,2015,"8,65,000",30000,Diesel
Mahindra Xylo D2,Mahindra,2011,"3,90,000",48000,Diesel
Hyundai Santro,Hyundai,2003,"60,000",51000,Petrol
Chevrolet Beat LT,Chevrolet,2015,"2,15,000",90000,Diesel
Maruti Suzuki Swift,Maruti,2015,"4,75,000",43000,Diesel
Mahindra XUV500 W8,Mahindra,2015,"8,99,000",53000,Diesel
Toyota Fortuner 3.0,Toyota,2013,"14,99,000",97000,Diesel
Maruti Suzuki Alto,Maruti,2013,"2,40,000",20000,Petrol
Hyundai Getz GLE,Hyundai,2007,"99,000",55000,Petrol
Maruti Suzuki Swift,Maruti,2014,"2,60,000",120000,Diesel
Hyundai Creta 1.6,Hyundai,2019,"12,00,000",0,Petrol
Hyundai Santro Xing,Hyundai,2007,"1,15,000",46000,Petrol
Hyundai Santro Xing,Hyundai,2009,"88,000",43200,Petrol
Mahindra Xylo D2,Mahindra,2011,"3,90,000",56000,Diesel
Hyundai Santro Xing,Hyundai,2007,"1,35,000",42000,Petrol
Tata Indica V2,Tata,2009,"90,000",30600,Diesel
Hyundai i10 Sportz,Hyundai,2011,"2,20,000",38000,Petrol
Hyundai Grand i10,Hyundai,2017,"4,24,999",2550,Petrol
Hyundai Santro Xing,Hyundai,2007,"1,35,000",47000,Petrol
Honda City 1.5,Honda,2005,"95,000",41000,Petrol
Nissan Micra XL,Nissan,2017,"4,30,000",62500,Diesel
Honda City 1.5,Honda,2005,"1,15,000",68000,Petrol
Maruti Suzuki Alto,Maruti,2015,"2,15,000",50000,Petrol
Maruti Suzuki Wagon,Maruti,2004,"53,000",69000,Petrol
Maruti Suzuki Ertiga,Maruti,2012,"5,00,000",48000,Diesel
Tata Indica eV2,Tata,2012,"85,000",55000,Diesel
Maruti Suzuki Omni,Maruti,2013,"1,65,000",25000,Petrol
Hyundai Eon Era,Hyundai,2014,"2,00,000",28400,Petrol
Hyundai Eon,Hyundai,2014,"2,00,000",28000,Petrol
Maruti Suzuki Swift,Maruti,2015,"4,25,000",42000,Diesel
Hyundai Verna 1.6,Hyundai,2012,"6,00,000",29000,Diesel
Chevrolet Tavera LS,Chevrolet,2005,"1,30,000",68485,Diesel
Tata Tiago Revotron,Tata,2018,"4,30,000",3500,Petrol
Tata Tiago Revotorq,Tata,2019,"5,68,500",0,Petrol
Maruti Suzuki Zen,Maruti,2006,"71,000",32000,Petrol
Mahindra KUV100 K8,Mahindra,2018,"5,60,000",8000,Diesel
Ford EcoSport Titanium,Ford,2014,"5,90,000",34000,Diesel
Hindustan Motors Ambassador,Hindustan,1995,"7,50,000",37000,Petrol
Ford Fusion 1.4,Ford,2007,"1,25,000",85455,Diesel
Hyundai Santro Xing,Hyundai,2007,"1,35,000",46000,Petrol
Hyundai Santro,Hyundai,2002,"60,000",47000,Petrol
Fiat Linea Emotion,Fiat,2009,"1,20,000",64000,Petrol
Ford Ikon 1.3,Ford,2008,"95,000",46000,Petrol
Maruti Suzuki Omni,Maruti,2017,"2,40,000",8000,Petrol
Tata Indica V2,Tata,2012,"1,15,000",64000,Diesel
Mahindra Scorpio S4,Mahindra,2015,"7,95,000",63000,Diesel
Hyundai Santro Xing,Hyundai,2007,"55,000",65000,Petrol
Mahindra Xylo D2,Mahindra,2009,"3,00,000",62000,Diesel
Hyundai Grand i10,Hyundai,2014,"3,20,000",41000,Petrol
Maruti Suzuki Alto,Maruti,2015,"2,65,000",14000,Petrol
Toyota Corolla,Toyota,2006,"1,60,000",40000,Petrol
Hyundai Eon Magna,Hyundai,2017,"3,00,000",1600,Petrol
Tata Sumo Grande,Tata,2010,"1,30,000",90000,Diesel
Maruti Suzuki Swift,Maruti,2011,"2,50,000",58000,Diesel
Volkswagen Polo Highline1.2L,Volkswagen,2013,"3,80,000",27000,Petrol
Maruti Suzuki Alto,Maruti,2003,"42,000",60000,Petrol
Tata Tiago Revotron,Tata,2017,"4,00,000",31000,Petrol
Maruti Suzuki Swift,Maruti,2009,"1,20,000",90000,Diesel
Maruti Suzuki Swift,Maruti,2009,"1,20,000",90000,Diesel
Tata Indigo eCS,Tata,2016,"1,30,000",150000,Diesel
Chevrolet Beat LS,Chevrolet,2014,"1,89,000",31000,Diesel
Mahindra Xylo E8,Mahindra,2011,"3,65,000",43000,Diesel
Hyundai Eon D,Hyundai,2013,"1,70,000",20000,Petrol
Tata Sumo Gold,Tata,2013,"2,15,000",100000,Petrol
Tata Nano,Tata,2013,"60,000",7000,Petrol
Hyundai Elite i20,Hyundai,2017,"5,99,999",31000,Petrol
Hyundai i10 Magna,Hyundai,2009,"4,00,000",33000,Petrol
Hyundai Creta,Hyundai,2016,"9,00,000",60000,Diesel
Volkswagen Polo,Volkswagen,2013,"2,99,999",48000,Diesel
Maruti Suzuki Dzire,Maruti,2014,"3,74,999",33000,Petrol
Tata Bolt XM,Tata,2015,"6,00,000",15000,Petrol
Maruti Suzuki Alto,Maruti,2005,"70,000",47000,Petrol
Maruti Suzuki Alto,Maruti,2005,"1,00,000",40000,Petrol
Maruti Suzuki Ritz,Maruti,2010,"1,50,000",38000,Diesel
Maruti Suzuki Alto,Maruti,2017,"2,25,000",12500,Petrol
Maruti Suzuki Dzire,Maruti,2009,"2,10,000",42000,Petrol
Hyundai i20 Asta,Hyundai,2014,"4,25,000",31000,Petrol
Maruti Suzuki Swift,Maruti,2008,"1,62,000",60000,Diesel
Tata Indica V2,Tata,2005,"60,000",80000,Diesel
Mahindra Scorpio VLX,Mahindra,2014,"6,50,000",77000,Diesel
Toyota Innova 2.5,Toyota,2012,"7,50,000",75000,Diesel
Mahindra Xylo E8,Mahindra,2010,"3,75,000",40000,Diesel
Hyundai i20 Magna,Hyundai,2011,"2,30,000",47000,Petrol
Maruti Suzuki Omni,Maruti,2000,"35,999",60000,Petrol
Mahindra KUV100,Mahindra,2016,"3,80,000",26500,Petrol
Mahindra KUV100 K8,Mahindra,2019,"5,60,000",2875,Petrol
Datsun Go Plus,Datsun,2016,"2,85,000",13900,Petrol
Ford Endeavor 4x4,Ford,2019,"29,00,000",9000,Diesel
Tata Indica V2,Tata,2005,"39,999",80000,Diesel
Hyundai Santro Xing,Hyundai,2006,"85,000",60000,Petrol
Maruti Suzuki Wagon,Maruti,2016,"3,95,000",20000,Petrol
Maruti Suzuki Swift,Maruti,2008,"1,75,000",58000,Diesel
Maruti Suzuki Alto,Maruti,2019,"4,00,000",1500,Petrol
Toyota Innova 2.5,Toyota,2011,"7,50,000",75000,Diesel
Maruti Suzuki Alto,Maruti,2016,"2,50,000",2450,Petrol
Maruti Suzuki Alto,Maruti,2019,"4,25,000",1625,Petrol
Volkswagen Polo Highline1.2L,Volkswagen,2017,"5,25,000",45000,Petrol
Mahindra Logan,Mahindra,2009,"1,30,000",65000,Diesel
Maruti Suzuki 800,Maruti,2000,"30,000",33400,Petrol
Mahindra Scorpio,Mahindra,2011,"4,75,000",60123,Diesel
Chevrolet Sail 1.2,Chevrolet,2013,"3,00,000",28000,Petrol
Hyundai Santro AE,Hyundai,2003,"60,000",70000,Petrol
Maruti Suzuki Wagon,Maruti,2006,"1,00,000",7000,Petrol
Hyundai Eon,Hyundai,2018,"2,60,000",25000,Petrol
Tata Manza,Tata,2015,"1,00,000",100000,Diesel
Toyota Etios G,Toyota,2013,"2,65,000",42000,Petrol
Hyundai Getz Prime,Hyundai,2009,"1,15,000",20000,Petrol
Toyota Qualis,Toyota,2003,"1,80,000",100000,Diesel
Hyundai Santro Xing,Hyundai,2004,"45,000",137495,Petrol
Tata Indica eV2,Tata,2016,"50,500",91200,Diesel
Honda City 1.5,Honda,2009,"2,70,000",55000,Petrol
Tata Zest XE,Tata,2017,"2,90,000",120000,Diesel
Mahindra Quanto C4,Mahindra,2013,"3,25,000",63000,Diesel
Tata Indigo eCS,Tata,2016,"1,60,000",104000,Diesel
Maruti Suzuki Swift,Maruti,2016,"3,50,000",146000,Diesel
Hyundai Elite i20,Hyundai,2011,"2,90,000",40000,Petrol
Hyundai i20 Select,Hyundai,2011,"2,90,000",40000,Petrol
Chevrolet Tavera Neo,Chevrolet,2007,"4,65,000",100800,Diesel
Maruti Suzuki Dzire,Maruti,2016,"3,25,000",150000,Diesel
Hyundai Elite i20,Hyundai,2018,"5,10,000",2100,Petrol
Honda City VX,Honda,2016,"8,60,000",95000,Petrol
Maruti Suzuki Dzire,Maruti,2016,"4,50,000",2500,Diesel
Hyundai Getz,Hyundai,2006,"1,25,000",80000,Petrol
Mercedes Benz C,Mercedes,2006,"5,00,001",15000,Petrol
Maruti Suzuki Alto,Maruti,2005,"95,000",65000,Petrol
Maruti Suzuki Swift,Maruti,2009,"2,50,000",51000,Diesel
Skoda Fabia,Skoda,2009,"1,10,000",45000,Petrol
Maruti Suzuki Ritz,Maruti,2011,"2,70,000",50000,Petrol
Tata Indica V2,Tata,2009,"1,10,000",30000,Diesel
Toyota Corolla Altis,Toyota,2009,"3,00,000",132000,Petrol
Tata Zest XM,Tata,2018,"2,60,000",27000,Diesel
Mahindra Quanto C8,Mahindra,2013,"3,90,000",40000,Diesel
